anime_id,en_title,year
153,The Twelve Kingdoms,2002.0
5029,,2008.0
302,Future Boy Conan,1978.0
5682,Phantom: Requiem for the Phantom,2009.0
21647,,2014.0
16049,A Certain Scientific Railgun S,2013.0
1065,,1985.0
18179,Yowamushi Pedal,2013.0
47,Akira,1988.0
23199,Durarara!! x2 Shou,2015.0
30415,Free! Starting Days,2015.0
10049,Nura: Rise of the Yokai Clan - Demon Capital,2011.0
1943,Paprika,2006.0
846,School Rumble: 2nd Semester,2006.0
9926,Sekai Ichi Hatsukoi - World's Greatest First Love,2011.0
31173,Snow White with the Red Hair 2,2016.0
589,Silver Fang,1986.0
15059,,2012.0
7791,K-ON! Season 2,2010.0
17265,Log Horizon,2013.0
20815,,2014.0
535,Slayers Next,1996.0
9963,,2011.0
32551,Digimon Adventure tri. Confession,2016.0
2762,,1983.0
14713,Kamisama Kiss,2012.0
14807,The Garden of Sinners: Future Gospel,2013.0
9204,Heart and Yummie,2010.0
31098,Ushio & Tora (2016),2016.0
33253,Ajin: Demi-Human 2nd Season,2016.0
24921,,2015.0
1471,,1988.0
27831,Durarara!! x2 Ten,2015.0
2924,ef - a tale of memories.,2007.0
4672,Ghost in the Shell 2.0,2008.0
3907,Galaxy Warring State Chronicle Rai,1994.0
186,Initial D Second Stage,1999.0
21469,,2014.0
9941,Tiger & Bunny,2011.0
14813,My Teen Romantic Comedy SNAFU,2013.0
21855,Hanamonogatari,2014.0
11739,You and Me 2,2012.0
2159,Big Windup!,2007.0
28297,My Love Story!!,2015.0
29831,,2016.0
2154,Tekkonkinkreet,2006.0
861,xxxHOLiC,2006.0
1689,5 Centimeters per Second,2007.0
9996,,2011.0
7711,The Secret World of Arrietty,2010.0
77,Magical Girl Lyrical Nanoha A's,2005.0
32093,Tanaka-kun is Always Listless,2016.0
12113,Berserk: The Golden Age Arc II - The Battle for Doldrey,2012.0
3014,Legend of the Galactic Heroes: My Conquest is the Sea of Stars,1988.0
5678,Kobato.,2009.0
6774,Welcome to Irabu's Office,2009.0
1089,,1984.0
15,,2005.0
122,Searching for the Full Moon,2002.0
1594,Hell Girl: Two Mirrors,2006.0
3092,Junjo Romantica,2008.0
10721,Penguindrum,2011.0
3588,Soul Eater,2008.0
4106,Trigun - Badlands Rumble,2010.0
387,Haibane Renmei,2002.0
1088,Macross,1982.0
10620,The Future Diary,2011.0
6582,,2009.0
2158,,2007.0
22319,Tokyo Ghoul,2014.0
6586,,2009.0
66,Azumanga Daioh: The Animation,2002.0
8142,Colorful: The Motion Picture,2010.0
